Date	Service	Message Count	Number of Friends	Mentions and Likes
9/21/2013	Linked In	152	101	208
10/5/2013	Linked In	168	112	256
10/19/2013	Linked In	212	132	381
11/2/2013	Linked In	163	108	239
11/16/2013	Linked In	192	120	313
11/30/2013	Linked In	212	141	408
12/14/2013	Linked In	185	116	291
12/28/2013	Linked In	192	128	333
1/11/2014	Linked In	226	151	462
1/25/2014	Linked In	197	123	328
2/8/2014	Linked In	204	136	376
2/22/2014	Linked In	255	160	554
3/8/2014	Linked In	195	130	345
